Anlaggningsnamn;WGS84Ost;WGS84Nord;ParameterKortnamn;Varde_BehArv
FORMOX AB;13,3804423;56,12643707;TOC;22676.000000000000000
FORMOX AB;13,3804423;56,12643707;Zn;13.200000000000000
Mosseruds avfallsanlÑggning;14,43946952;59,32463244;As;0.280000000000000
Mosseruds avfallsanlÑggning;14,43946952;59,32463244;BOD7;1033.000000000000000
Mosseruds avfallsanlÑggning;14,43946952;59,32463244;Cd;0.015000000000000
Mosseruds avfallsanlÑggning;14,43946952;59,32463244;Total Cl;187022.000000000000000
Mosseruds avfallsanlÑggning;14,43946952;59,32463244;Cr;1.280000000000000
Mosseruds avfallsanlÑggning;14,43946952;59,32463244;Cu;5.580000000000000
Mosseruds avfallsanlÑggning;14,43946952;59,32463244;Hg;0.011000000000000
Mosseruds avfallsanlÑggning;14,43946952;59,32463244;Total N;21214.000000000000000
Mosseruds avfallsanlÑggning;14,43946952;59,32463244;Pb;0.150000000000000
Mosseruds avfallsanlÑggning;14,43946952;59,32463244;NH4-N;13399.000000000000000
Mosseruds avfallsanlÑggning;14,43946952;59,32463244;Ni;2.180000000000000
Mosseruds avfallsanlÑggning;14,43946952;59,32463244;Total P;47.500000000000000
Mosseruds avfallsanlÑggning;14,43946952;59,32463244;Organotin compounds;0.072000000000000
FORMOX AB;13,3804423;56,12643707;Pb;0.400000000000000
FORMOX AB;13,3804423;56,12643707;Ni;1.800000000000000
VOLVO Personvagnar AB;11,83931113;57,71427498;Total P;3398.000000000000000
VOLVO Personvagnar AB;11,83931113;57,71427498;TOC;97791.000000000000000
Allyleterfabriken;13,37960374;56,12672605;BOD7;0.000000000000000
Allyleterfabriken;13,37960374;56,12672605;Cr;0.000000000000000
Allyleterfabriken;13,37960374;56,12672605;Cu;0.000000000000000
Allyleterfabriken;13,37960374;56,12672605;Ni;0.100000000000000
Allyleterfabriken;13,37960374;56,12672605;TOC;9709.000000000000000
Allyleterfabriken;13,37960374;56,12672605;Zn;0.200000000000000
Myrsyralinjen;13,38018881;56,12535399;BOD7;7520.000000000000000
Myrsyralinjen;13,38018881;56,12535399;Cr;2.100000000000000
Myrsyralinjen;13,38018881;56,12535399;Cu;0.600000000000000
Myrsyralinjen;13,38018881;56,12535399;Ni;6.600000000000000
Myrsyralinjen;13,38018881;56,12535399;Pb;0.500000000000000
Myrsyralinjen;13,38018881;56,12535399;TOC;9625.000000000000000
Myrsyralinjen;13,38018881;56,12535399;Zn;160.000000000000000
FORMOX AB;13,3804423;56,12643707;Cu;4.200000000000000
FORMOX AB;13,3804423;56,12643707;Cr;0.100000000000000
Visby Slakteri;18,33768103;57,63571085;Total P;344.000000000000000
Scan AB, Uppsala;17,67600297;59,84996923;BOD7;0.000000000000000
Scan AB, Uppsala;17,67600297;59,84996923;Total N;0.000000000000000
Scan AB, Uppsala;17,67600297;59,84996923;Total P;0.000000000000000
Scan AB, Kristianstad;14,14861212;56,01971186;Total N;85950.000000000000000
Scan AB, Kristianstad;14,14861212;56,01971186;Total P;9877.000000000000000
Scan AB, Kristianstad;14,14861212;56,01971186;Zn;249.000000000000000
Scan AB, Kristianstad;14,14861212;56,01971186;BOD7;529271.000000000000000
FORMOX AB;13,3804423;56,12643707;BOD7;41993.000000000000000
Scan AB, Skara;13,42772229;58,38192239;Total N;36157.000000000000000
Scan AB, Skara;13,42772229;58,38192239;Total P;1539.000000000000000
FORMOX AB;13,3804423;56,12643707;As;0.100000000000000
Bohus Biotech AB;11,17648535;58,93084619;BOD7;182.550000000000000
Bohus Biotech AB;11,17648535;58,93084619;COD-cr;273.700000000000000
èngcentralen;13,38408167;56,12483746;As;0.070000000000000
èngcentralen;13,38408167;56,12483746;Cd;0.020000000000000
èngcentralen;13,38408167;56,12483746;Cr;0.770000000000000
èngcentralen;13,38408167;56,12483746;Cu;0.190000000000000
èngcentralen;13,38408167;56,12483746;Hg;0.000000000000000
èngcentralen;13,38408167;56,12483746;Ni;0.600000000000000
èngcentralen;13,38408167;56,12483746;Total N;3942.000000000000000
èngcentralen;13,38408167;56,12483746;Pb;0.060000000000000
èngcentralen;13,38408167;56,12483746;Total P;6.000000000000000
èngcentralen;13,38408167;56,12483746;Zn;1.200000000000000
Formalinfabriken;13,38708638;56,12488738;BOD7;16121.000000000000000
Formalinfabriken;13,38708638;56,12488738;TOC;7968.000000000000000
Formalinfabriken;13,38708638;56,12488738;Cu;0.200000000000000
Formalinfabriken;13,38708638;56,12488738;Zn;5.600000000000000
GE Healthcare Bio-Sciences AB;17,66744131;59,85419357;BOD7;61000.000000000000000
Nordic Sugar Arlîvs socker;13,06710321;55,63162244;Total N;8616.000000000000000
Nordic Sugar Arlîvs socker;13,06710321;55,63162244;Total P;164.000000000000000
Nordic Sugar Arlîvs socker;13,06710321;55,63162244;Total Cl;506000.000000000000000
GE Healthcare Bio-Sciences AB;17,66744131;59,85419357;TOC;36600.000000000000000
GE Healthcare Bio-Sciences AB;17,66744131;59,85419357;Total N;11100.000000000000000
GE Healthcare Bio-Sciences AB;17,66744131;59,85419357;Total P;1800.000000000000000
Anholmen Fastighets AB (Akzo Nobel Base Chemicals);13,4458779;59,32568607;TOC;119000.000000000000000
Neo-fabriken;13,37818272;56,12630281;TOC;166591.000000000000000
Neo-fabriken;13,37818272;56,12630281;Zn;13.000000000000000
Neo-fabriken;13,37818272;56,12630281;Pb;0.300000000000000
Di-TMP-fabriken;13,37972572;56,12708782;BOD7;7681.000000000000000
Di-TMP-fabriken;13,37972572;56,12708782;Cr;0.200000000000000
Di-TMP-fabriken;13,37972572;56,12708782;Cu;0.200000000000000
Di-TMP-fabriken;13,37972572;56,12708782;Ni;0.600000000000000
Di-TMP-fabriken;13,37972572;56,12708782;TOC;20568.000000000000000
Di-TMP-fabriken;13,37972572;56,12708782;Zn;7.300000000000000
Di-TMP-fabriken;13,37972572;56,12708782;As;0.300000000000000
Pharma;13,39046062;56,12263553;BOD7;9637.000000000000000
Pharma;13,39046062;56,12263553;Cu;0.100000000000000
Pharma;13,39046062;56,12263553;TOC;7517.000000000000000
Pharma;13,39046062;56,12263553;Zn;75.000000000000000
Pharma;13,39046062;56,12263553;Toluene;698.000000000000000
VOLVO Personvagnar AB;11,83931113;57,71427498;Ni;14.080000000000000
VOLVO Personvagnar AB;11,83931113;57,71427498;Zn;203.000000000000000
Visby Slakteri;18,33768103;57,63571085;BOD7;38502.000000000000000
Visby Slakteri;18,33768103;57,63571085;Total N;7281.000000000000000
Scan AB, Skara;13,42772229;58,38192239;BOD7;197.000000000000000
éttiksyrafabriken;13,38506754;56,12501851;TOC;600.000000000000000
Nordic Sugar Arlîvs socker;13,06710321;55,63162244;TOC;397000.000000000000000
Neo-fabriken;13,37818272;56,12630281;BOD7;347065.000000000000000
Neo-fabriken;13,37818272;56,12630281;Cr;0.600000000000000
Neo-fabriken;13,37818272;56,12630281;Cu;1.300000000000000
Neo-fabriken;13,37818272;56,12630281;Ni;1.000000000000000
HYLLSTOFTA AVFALLSANLéGGNING;13,25549179;56,133191;Total P;112.700000000000000
IsÑtra avfallsanlÑggning;16,71992669;59,91985586;Total N;6700.000000000000000
ROHM AND HAAS NORDISKA AB;12,85252402;55,87375642;TOC;4500.000000000000000
ROHM AND HAAS NORDISKA AB;12,85252402;55,87375642;Zn;7.320000000000000
Spillepengs avfallsanlÑggning;13,05157682;55,63558766;Total N;48480.000000000000000
Spillepengs avfallsanlÑggning;13,05157682;55,63558766;As;1.900000000000000
Spillepengs avfallsanlÑggning;13,05157682;55,63558766;Zn;24.000000000000000
Konvex AB;13,17023941;55,79260663;Total P;674.000000000000000
Konvex AB;13,17023941;55,79260663;Total N;6205.000000000000000
Konvex AB;13,17023941;55,79260663;BOD7;3176.000000000000000
LantmÑnnen Doggy AB;12,77743493;58,02096506;COD-cr;1953.600000000000000
LantmÑnnen Doggy AB;12,77743493;58,02096506;BOD7;1006.000000000000000
LantmÑnnen Doggy AB;12,77743493;58,02096506;Total N;283.600000000000000
HÑradsuddens avfallsanlÑggning;16,07385225;58,53435393;Total N;2661.000000000000000
HÑradsuddens avfallsanlÑggning;16,07385225;58,53435393;Pb;0.014000000000000
HÑradsuddens avfallsanlÑggning;16,07385225;58,53435393;Total P;6.400000000000000
HÑradsuddens avfallsanlÑggning;16,07385225;58,53435393;TOC;3252.000000000000000
Bodycote Ytbehandling AB;11,94108001;57,65765905;Ni;0.073000000000000
Bodycote Ytbehandling AB;11,94108001;57,65765905;Total F;3.410000000000000
Axel Christiernsson AB;12,05699676;57,91485602;Zn;0.020000000000000
Bodycote Ytbehandling AB;11,94108001;57,65765905;Cu;0.121000000000000
LantmÑnnen Doggy AB;12,77743493;58,02096506;Total P;28.540000000000000
Bodycote Ytbehandling AB;11,94108001;57,65765905;Cr;0.016000000000000
Bodycote Ytbehandling AB;11,94108001;57,65765905;Cd;0.001000000000000
Sandviksverket;14,83780105;56,86799798;Cd;0.020000000000000
ROHM AND HAAS NORDISKA AB;12,85252402;55,87375642;COD-cr;13000.000000000000000
Spillepengs avfallsanlÑggning;13,05157682;55,63558766;Total P;212.000000000000000
Sandviksverket;14,83780105;56,86799798;Cu;1.400000000000000
Arla Foods AB, Jînkîpingsmejeri;14,16600431;57,74075523;Total P;2400.000000000000000
Bodycote Ytbehandling AB;11,94108001;57,65765905;Hg;0.001000000000000
Lessebo avfallsupplag;15,24963158;56,7402976;Pb;0.015000000000000
Sandviksverket;14,83780105;56,86799798;Hg;0.029000000000000
Sandviksverket;14,83780105;56,86799798;NH4-N;1806.000000000000000
Sandviksverket;14,83780105;56,86799798;Total N;2585.000000000000000
Bodycote Ytbehandling AB;11,94108001;57,65765905;Zn;0.136000000000000
Bodycote Ytbehandling AB;11,94108001;57,65765905;Pb;0.005000000000000
SPENDRUPS BRYGGERI, VèRBYENHET;17,87902622;59,25560197;Zn;46.100000000000000
SPENDRUPS BRYGGERI, VèRBYENHET;17,87902622;59,25560197;Cu;25.400000000000000
Sandviksverket;14,83780105;56,86799798;Pb;0.121000000000000
Sandviksverket;14,83780105;56,86799798;Zn;24.230000000000000
HÑradsuddens avfallsanlÑggning;16,07385225;58,53435393;As;0.158000000000000
HÑradsuddens avfallsanlÑggning;16,07385225;58,53435393;Total Cl;6504.000000000000000
HÑradsuddens avfallsanlÑggning;16,07385225;58,53435393;Total CN;0.200000000000000
Bodycote Ytbehandling AB;11,94108001;57,65765905;Organotin compounds;0.019000000000000
HÑradsuddens avfallsanlÑggning;16,07385225;58,53435393;Phenols;0.552000000000000
Pentafabriken;13,38064526;56,12627934;Cr;5.000000000000000
Pentafabriken;13,38064526;56,12627934;Cu;2.500000000000000
Pentafabriken;13,38064526;56,12627934;Ni;10.100000000000000
Pentafabriken;13,38064526;56,12627934;Pb;0.900000000000000
Pentafabriken;13,38064526;56,12627934;TOC;129427.000000000000000
Pentafabriken;13,38064526;56,12627934;Zn;274.400000000000000
GE Healthcare Bio-Sciences AB;17,66744131;59,85419357;NP/NPEs;33.000000000000000
HÑradsuddens avfallsanlÑggning;16,07385225;58,53435393;Cr;0.002000000000000
HÑradsuddens avfallsanlÑggning;16,07385225;58,53435393;Cu;0.394000000000000
Swe-Dan Seafood AB;16,67339033;57,74652118;BOD7;29776.000000000000000
HÑradsuddens avfallsanlÑggning;16,07385225;58,53435393;Hg;0.001000000000000
HÑradsuddens avfallsanlÑggning;16,07385225;58,53435393;NH4-N;1971.000000000000000
