"region";"hustyp";"2015"
"0114 Upplands Väsby";"småhus";6333
"0114 Upplands Väsby";"flerbostadshus";11943
"0114 Upplands Väsby";"övriga hus";68
"0114 Upplands Väsby";"specialbostäder";364
"0115 Vallentuna";"småhus";8229
"0115 Vallentuna";"flerbostadshus";3907
"0115 Vallentuna";"övriga hus";47
"0115 Vallentuna";"specialbostäder";328
"0117 Österåker";"småhus";11861
"0117 Österåker";"flerbostadshus";4521
"0117 Österåker";"övriga hus";272
"0117 Österåker";"specialbostäder";478
"0120 Värmdö";"småhus";11424
"0120 Värmdö";"flerbostadshus";4730
"0120 Värmdö";"övriga hus";151
"0120 Värmdö";"specialbostäder";299
"0123 Järfälla";"småhus";11248
"0123 Järfälla";"flerbostadshus";18827
"0123 Järfälla";"övriga hus";183
"0123 Järfälla";"specialbostäder";612
"0125 Ekerö";"småhus";8076
"0125 Ekerö";"flerbostadshus";1194
"0125 Ekerö";"övriga hus";80
"0125 Ekerö";"specialbostäder";234
"0126 Huddinge";"småhus";18506
"0126 Huddinge";"flerbostadshus";21655
"0126 Huddinge";"övriga hus";197
"0126 Huddinge";"specialbostäder";1916
"0127 Botkyrka";"småhus";11905
"0127 Botkyrka";"flerbostadshus";20702
"0127 Botkyrka";"övriga hus";146
"0127 Botkyrka";"specialbostäder";1138
"0128 Salem";"småhus";3608
"0128 Salem";"flerbostadshus";2549
"0128 Salem";"övriga hus";4
"0128 Salem";"specialbostäder";190
"0136 Haninge";"småhus";14291
"0136 Haninge";"flerbostadshus";18681
"0136 Haninge";"övriga hus";156
"0136 Haninge";"specialbostäder";1295
"0138 Tyresö";"småhus";9090
"0138 Tyresö";"flerbostadshus";9052
"0138 Tyresö";"övriga hus";152
"0138 Tyresö";"specialbostäder";467
"0139 Upplands-Bro";"småhus";4571
"0139 Upplands-Bro";"flerbostadshus";5623
"0139 Upplands-Bro";"övriga hus";18
"0139 Upplands-Bro";"specialbostäder";126
"0140 Nykvarn";"småhus";2760
"0140 Nykvarn";"flerbostadshus";1080
"0140 Nykvarn";"övriga hus";71
"0140 Nykvarn";"specialbostäder";61
"0160 Täby";"småhus";13857
"0160 Täby";"flerbostadshus";13041
"0160 Täby";"övriga hus";24
"0160 Täby";"specialbostäder";868
"0162 Danderyd";"småhus";6816
"0162 Danderyd";"flerbostadshus";5444
"0162 Danderyd";"övriga hus";257
"0162 Danderyd";"specialbostäder";583
