"region";"hushållstyp";"ålder";"Medelvärde,  tkr 2015";"Medianvärde, tkr 2015"
"0114 Upplands Väsby";"samtliga hushåll";"18+ år";490.2;392.0
"0114 Upplands Väsby";"samtliga hushåll";"18-29 år";381.9;323.8
"0114 Upplands Väsby";"samtliga hushåll";"30-49 år";552.6;492.8
"0114 Upplands Väsby";"samtliga hushåll";"50-64 år";557.3;463.4
"0114 Upplands Väsby";"samtliga hushåll";"65+ år";380.9;265.2
"0114 Upplands Väsby";"samtliga hushåll";"65-79 år";420.0;301.0
"0114 Upplands Väsby";"samtliga hushåll";"80+ år";252.8;179.0
"0115 Vallentuna";"samtliga hushåll";"18+ år";581.2;507.7
"0115 Vallentuna";"samtliga hushåll";"18-29 år";437.0;386.3
"0115 Vallentuna";"samtliga hushåll";"30-49 år";663.8;617.1
"0115 Vallentuna";"samtliga hushåll";"50-64 år";661.7;581.3
"0115 Vallentuna";"samtliga hushåll";"65+ år";406.8;298.7
"0115 Vallentuna";"samtliga hushåll";"65-79 år";436.0;337.3
"0115 Vallentuna";"samtliga hushåll";"80+ år";316.7;193.4
"0117 Österåker";"samtliga hushåll";"18+ år";609.7;489.8
"0117 Österåker";"samtliga hushåll";"18-29 år";405.4;338.2
"0117 Österåker";"samtliga hushåll";"30-49 år";666.7;605.3
"0117 Österåker";"samtliga hushåll";"50-64 år";783.9;586.0
"0117 Österåker";"samtliga hushåll";"65+ år";428.0;311.7
"0117 Österåker";"samtliga hushåll";"65-79 år";467.7;350.8
"0117 Österåker";"samtliga hushåll";"80+ år";291.4;196.7
"0120 Värmdö";"samtliga hushåll";"18+ år";608.5;486.5
"0120 Värmdö";"samtliga hushåll";"18-29 år";407.2;332.0
"0120 Värmdö";"samtliga hushåll";"30-49 år";685.7;612.8
"0120 Värmdö";"samtliga hushåll";"50-64 år";705.3;555.1
"0120 Värmdö";"samtliga hushåll";"65+ år";444.7;294.5
"0120 Värmdö";"samtliga hushåll";"65-79 år";479.6;330.4
"0120 Värmdö";"samtliga hushåll";"80+ år";312.5;184.6
"0123 Järfälla";"samtliga hushåll";"18+ år";510.5;413.2
"0123 Järfälla";"samtliga hushåll";"18-29 år";387.8;325.8
"0123 Järfälla";"samtliga hushåll";"30-49 år";575.7;521.2
"0123 Järfälla";"samtliga hushåll";"50-64 år";588.7;506.8
"0123 Järfälla";"samtliga hushåll";"65+ år";400.9;281.6
"0123 Järfälla";"samtliga hushåll";"65-79 år";440.6;318.9
"0123 Järfälla";"samtliga hushåll";"80+ år";296.3;192.0
"0125 Ekerö";"samtliga hushåll";"18+ år";665.4;537.1
"0125 Ekerö";"samtliga hushåll";"18-29 år";437.4;389.3
"0125 Ekerö";"samtliga hushåll";"30-49 år";762.1;656.0
"0125 Ekerö";"samtliga hushåll";"50-64 år";759.4;614.7
"0125 Ekerö";"samtliga hushåll";"65+ år";470.1;323.8
"0125 Ekerö";"samtliga hushåll";"65-79 år";521.4;360.2
"0125 Ekerö";"samtliga hushåll";"80+ år";295.1;220.7
"0126 Huddinge";"samtliga hushåll";"18+ år";520.7;420.4
"0126 Huddinge";"samtliga hushåll";"18-29 år";394.3;297.3
"0126 Huddinge";"samtliga hushåll";"30-49 år";597.5;543.4
"0126 Huddinge";"samtliga hushåll";"50-64 år";585.6;494.2
"0126 Huddinge";"samtliga hushåll";"65+ år";367.3;255.1
"0126 Huddinge";"samtliga hushåll";"65-79 år";402.2;292.5
"0126 Huddinge";"samtliga hushåll";"80+ år";266.0;179.5
"0127 Botkyrka";"samtliga hushåll";"18+ år";453.5;372.3
"0127 Botkyrka";"samtliga hushåll";"18-29 år";411.8;356.0
"0127 Botkyrka";"samtliga hushåll";"30-49 år";504.6;455.7
"0127 Botkyrka";"samtliga hushåll";"50-64 år";500.4;424.9
"0127 Botkyrka";"samtliga hushåll";"65+ år";336.9;229.0
"0127 Botkyrka";"samtliga hushåll";"65-79 år";365.3;262.7
"0127 Botkyrka";"samtliga hushåll";"80+ år";243.7;170.7
"0128 Salem";"samtliga hushåll";"18+ år";548.9;479.2
"0128 Salem";"samtliga hushåll";"18-29 år";428.9;369.2
"0128 Salem";"samtliga hushåll";"30-49 år";615.7;583.1
"0128 Salem";"samtliga hushåll";"50-64 år";648.2;585.6
"0128 Salem";"samtliga hushåll";"65+ år";404.0;300.5
"0128 Salem";"samtliga hushåll";"65-79 år";435.8;336.2
"0128 Salem";"samtliga hushåll";"80+ år";305.6;195.2
"0136 Haninge";"samtliga hushåll";"18+ år";479.5;394.5
"0136 Haninge";"samtliga hushåll";"18-29 år";377.2;313.8
"0136 Haninge";"samtliga hushåll";"30-49 år";547.1;503.9
"0136 Haninge";"samtliga hushåll";"50-64 år";551.3;467.3
"0136 Haninge";"samtliga hushåll";"65+ år";357.0;262.2
"0136 Haninge";"samtliga hushåll";"65-79 år";385.7;289.7
"0136 Haninge";"samtliga hushåll";"80+ år";253.4;175.9
"0138 Tyresö";"samtliga hushåll";"18+ år";581.5;470.6
"0138 Tyresö";"samtliga hushåll";"18-29 år";422.4;364.8
"0138 Tyresö";"samtliga hushåll";"30-49 år";671.9;602.0
