"0114 Upplands V�sby";5.36;7.16;9.51;7.37;7.50;5.32;..;..;7.37;7.95;8.92;4.46;9.20;6.36;6.57;9.13
"0115 Vallentuna";5.32;5.22;3.66;7.88;2.80;4.15;..;..;6.85;7.57;1.97;4.11;4.15;6.29;3.80;4.39
"0117 �ster�ker";8.44;8.30;9.34;7.75;8.61;2.80;..;..;5.36;1.90;8.75;1.62;1.03;1.59;6.67;6.81
"0120 V�rmd�";8.75;5.64;8.06;3.14;5.74;4.80;..;..;8.65;9.23;7.19;4.04;5.77;6.50;5.50;8.40
"0123 J�rf�lla";4.80;1.90;2.14;4.39;2.28;1.00;..;..;3.07;5.77;5.08;4.60;1.59;2.59;3.70;4.32
"0125 Eker�";7.23;6.22;1.79;4.49;6.71;1.59;..;..;1.48;4.67;3.52;8.33;7.16;1.79;5.67;6.71
"0126 Huddinge";4.46;6.15;4.22;5.19;4.15;2.94;..;..;3.84;3.14;1.55;4.01;4.01;4.46;5.19;6.05
"0127 Botkyrka";3.01;6.02;3.18;4.74;5.84;6.43;..;..;1.83;5.50;2.24;3.35;7.40;2.97;5.46;2.11
"0128 Salem";6.22;8.82;3.01;5.88;6.53;9.03;..;..;9.44;8.44;6.85;6.67;9.13;0.38;5.29;5.39
"0136 Haninge";6.19;4.60;5.01;6.95;3.01;1.10;..;..;9.72;8.65;8.65;7.23;7.05;6.02;9.23;6.85
"0138 Tyres�";2.94;6.81;5.29;7.40;8.16;0.72;..;..;3.56;4.80;6.50;6.53;2.35;7.33;6.08;7.88
"0139 Upplands-Bro";6.02;7.26;7.50;8.89;2.52;2.90;..;..;3.14;9.16;4.32;6.60;6.08;0.69;4.49;2.42
"0140 Nykvarn";2.69;4.74;1.59;6.40;4.22;6.29;..;..;2.49;1.38;2.56;7.16;6.15;8.40;4.60;6.02
"0160 T�by";3.63;3.91;1.69;3.59;2.35;3.97;..;..;1.21;7.05;0.93;1.66;4.29;2.49;5.74;8.54
"0162 Danderyd";0.93;2.11;3.32;3.52;2.90;1.66;..;..;1.07;1.69;1.86;1.90;1.24;0.93;3.63;9.34
"0163 Sollentuna";6.74;6.53;5.25;6.33;5.25;4.29;..;..;4.94;7.64;5.01;6.33;7.57;2.94;5.98;5.77
"0180 Stockholm";4.70;5.39;3.87;5.01;4.98;3.01;..;..;2.66;3.39;3.49;3.59;3.56;3.42;6.74;7.05
"0181 S�dert�lje";7.16;7.75;6.64;3.87;6.88;5.22;..;..;3.42;4.74;7.05;5.67;4.80;4.35;3.35;3.49
"0182 Nacka";3.14;5.98;2.94;3.80;5.50;4.18;..;..;3.63;6.81;4.56;3.11;6.64;2.76;7.68;9.41
"0183 Sundbyberg";2.52;2.97;7.12;5.70;3.70;2.97;..;..;8.47;9.44;1.21;7.33;9.27;7.64;7.26;6.64
"0184 Solna";6.81;5.67;4.87;2.80;4.32;1.24;..;..;3.59;3.52;3.84;3.49;5.01;1.52;5.32;6.47
"0186 Liding�";6.67;4.94;7.43;3.91;2.38;3.49;..;..;2.97;5.53;3.11;2.97;2.76;7.02;6.26;9.51
"0187 Vaxholm";1.66;0.00;4.15;0.69;1.83;2.14;..;..;0.34;8.85;2.28;1.76;6.81;1.31;2.35;9.58
"0188 Norrt�lje";7.57;6.88;4.77;5.67;7.40;8.89;..;..;5.43;7.23;7.30;5.36;4.94;1.73;5.25;8.37
"0191 Sigtuna";3.73;1.59;8.33;3.18;3.97;7.02;..;..;4.46;5.08;6.22;6.50;5.70;1.62;4.63;3.21
"0192 Nyn�shamn";8.47;2.00;4.74;5.64;7.43;7.75;..;..;7.09;9.20;7.82;7.40;6.50;3.77;8.02;6.19
"0305 H�bo";7.68;8.89;9.44;8.65;9.55;1.45;..;..;8.37;7.88;3.77;5.57;9.51;6.33;4.15;7.43
"0319 �lvkarleby";1.41;9.13;5.84;0.89;1.86;7.50;..;..;8.02;2.17;9.86;2.52;8.92;8.99;9.34;7.71
"0330 Knivsta";7.05;8.09;1.86;6.12;6.08;1.38;..;..;0.79;4.70;0.58;3.32;3.63;8.68;2.87;7.02
"0331 Heby";7.78;9.41;5.98;8.37;7.16;4.08;..;..;1.28;3.04;7.95;0.38;1.66;1.10;0.24;5.25
"0360 Tierp";6.88;4.63;5.08;5.46;6.85;1.41;..;..;0.41;0.65;0.55;6.81;1.38;0.51;1.41;5.36
"0380 Uppsala";6.05;5.43;4.08;4.94;5.15;5.12;..;..;4.11;6.71;5.29;5.43;7.47;2.66;3.14;4.67
"0381 Enk�ping";7.71;6.19;9.65;7.99;5.88;3.59;..;..;6.98;8.16;7.68;8.40;8.30;8.13;2.42;5.50
"0382 �sthammar";9.06;9.58;8.44;9.68;9.51;2.11;..;..;4.49;7.16;9.27;8.61;8.40;5.43;2.07;6.57
"0428 Ving�ker";9.58;9.68;8.82;9.89;6.98;9.75;..;..;7.12;6.02;6.98;8.37;1.31;5.01;9.51;8.20
"0461 Gnesta";9.44;3.01;9.30;0.62;0.83;5.67;..;..;7.47;5.12;8.06;7.88;1.55;0.55;8.40;8.26
"0480 Nyk�ping";6.40;4.15;3.77;2.42;4.39;3.21;..;..;6.95;7.47;5.19;3.80;4.22;8.06;7.09;6.78
"0481 Oxel�sund";9.10;9.51;9.86;6.81;9.16;9.86;..;..;3.77;2.73;2.73;2.24;0.76;10.00;8.65;2.38
"0482 Flen";9.34;8.51;8.37;9.37;6.92;7.30;..;..;6.88;5.88;5.60;5.29;7.09;2.00;5.22;3.01
"0483 Katrineholm";6.85;6.05;7.99;8.82;8.20;9.68;..;..;3.97;5.32;1.28;4.18;4.39;2.62;4.35;3.59
"0484 Eskilstuna";6.78;6.67;5.50;7.61;7.05;6.74;..;..;5.05;5.15;3.21;7.54;4.74;5.77;8.58;7.85
"0486 Str�ngn�s";7.12;8.54;2.24;8.71;9.10;6.33;..;..;6.81;7.50;8.89;9.13;8.78;4.18;5.05;4.70
