"0114 Upplands V�sby";1777;2312;6158;6360;5212;4263;209;357
"0115 Vallentuna";917;1302;4317;4569;4442;3561;105;189
"0117 �ster�ker";1238;1773;5779;6261;5702;4525;163;337
"0120 V�rmd�";1254;1939;5646;6132;5581;4417;103;218
"0123 J�rf�lla";2766;3323;9079;9685;9872;8556;347;555
"0125 Eker�";712;1147;3162;3442;4178;3239;106;168
"0126 Huddinge";4180;5346;12713;13683;14177;12227;715;1243
"0127 Botkyrka";5364;6493;11247;12048;9351;8112;792;1361
"0128 Salem";591;704;2033;2178;2199;1650;39;109
"0136 Haninge";4143;5254;12423;13268;8471;6924;485;930
"0138 Tyres�";1491;1927;6179;6602;6057;4837;165;297
"0139 Upplands-Bro";1115;1434;3642;3903;3051;2466;118;168
"0140 Nykvarn";355;628;1531;1664;1178;819;20;46
"0160 T�by";1303;1441;6669;6703;12382;11320;245;377
"0162 Danderyd";350;378;2186;1904;6640;6235;185;254
"0163 Sollentuna";1849;2275;7011;7314;12090;10808;333;532
"0180 Stockholm";27552;34228;90054;100110;182147;160556;6418;9138
"0181 S�dert�lje";5463;6921;11728;12701;9849;8622;795;1217
"0182 Nacka";2338;3022;10069;10641;17454;14832;439;734
"0183 Sundbyberg";1755;2300;5511;6172;7616;6772;345;519
"0184 Solna";1979;2305;7696;8437;15385;14577;642;1123
"0186 Liding�";877;1088;3993;3939;8984;7858;224;322
"0187 Vaxholm";241;389;1331;1355;1918;1616;29;57
"0188 Norrt�lje";2653;3918;9406;10407;5989;4151;155;294
"0191 Sigtuna";2091;2648;6103;6501;4926;4220;302;477
"0192 Nyn�shamn";1365;1785;4290;4654;2831;2096;106;217
"0305 H�bo";883;1183;3206;3409;2131;1629;52;110
"0319 �lvkarleby";510;700;1472;1689;825;563;21;14
"0330 Knivsta";497;655;1784;2148;2662;2132;47;89
"0331 Heby";669;1097;2200;2460;1089;688;38;55
"0360 Tierp";1063;1452;3228;3879;1821;1038;61;88
"0380 Uppsala";5672;7483;20308;22969;38176;32826;924;1172
"0381 Enk�ping";1637;2390;6393;7046;4578;3448;98;149
"0382 �sthammar";1096;1491;3465;4054;1914;1328;34;64
"0428 Ving�ker";589;817;1395;1533;689;448;19;26
"0461 Gnesta";513;673;1595;1789;1209;848;27;51
"0480 Nyk�ping";2335;2780;7818;8754;6379;4663;158;219
"0481 Oxel�sund";683;738;1796;2250;1021;785;22;43
"0482 Flen";988;1291;2443;2707;1417;1076;94;100
"0483 Katrineholm";1887;2289;4706;5522;3356;2238;112;102
"0484 Eskilstuna";5653;6018;13417;16146;11364;8941;368;349
"0486 Str�ngn�s";1414;2035;4754;5272;4261;3143;93;173
"0488 Trosa";566;703;1894;1991;1355;1008;22;69
"0509 �desh�g";260;468;858;888;451;304;10;19
"0512 Ydre";141;309;550;612;403;241;20;19
"0513 Kinda";432;732;1502;1624;953;679;17;24
"0560 Boxholm";252;464;903;977;435;282;13;14
"0561 �tvidaberg";615;787;1742;2111;1033;735;20;39
"0562 Finsp�ng";1088;1345;3195;3917;2044;1481;49;53
"0563 Valdemarsvik";457;712;1285;1400;631;453;25;26
"0580 Link�ping";5128;5490;16023;18026;22591;22391;689;720
"0581 Norrk�ping";6853;7790;18227;20847;16068;13027;425;503
"0582 S�derk�ping";556;915;2224;2389;1695;1106;20;27
"0583 Motala";2412;2735;6330;7516;4156;3153;128;129
"0584 Vadstena";333;421;1079;1222;886;630;10;21
"0586 Mj�lby";1252;1526;4031;4745;2620;1941;55;63
"0604 Aneby";338;517;991;1121;634;439;20;19
"0617 Gnosj�";726;1014;1346;1513;685;453;44;59
"0642 Mullsj�";377;518;1017;1150;759;517;13;19
"0643 Habo";427;684;1490;1757;1445;966;6;23
"0662 Gislaved";1857;2671;4352;4781;2252;1585;84;115
"0665 Vaggeryd";629;1074;1969;2231;1298;885;55;43
"0680 J�nk�ping";5218;6776;16336;18753;17616;14364;417;498
"0682 N�ssj�";1466;2284;4315;4898;2940;2136;120;129
"0683 V�rnamo";1659;2372;4936;5420;3341;2460;84;142
"0684 S�vsj�";561;1058;1533;1695;1028;668;44;49
"0685 Vetlanda";1309;2114;4037;4358;2442;1702;80;110
"0686 Eksj�";657;1078;2449;2559;1910;1481;51;86
"0687 Tran�s";904;1179;2731;3055;1706;1248;56;70
"0760 Uppvidinge";484;864;1364;1553;744;495;51;65
"0761 Lessebo";499;748;1095;1317;758;533;44;47
"0763 Tingsryd";628;977;1822;2107;1104;688;63;74
"0764 Alvesta";947;1494;2794;3166;1825;1339;77;120
"0765 �lmhult";670;1111;2223;2332;1771;1352;150;227
"0767 Markaryd";622;917;1476;1602;719;499;56;108
"0780 V�xj�";2943;3820;10097;11910;12489;10670;302;386
"0781 Ljungby";1196;1774;4148;4852;2799;1978;103;186
"0821 H�gsby";330;537;932;995;428;326;37;56
"0834 Tors�s";369;550;1028;1275;657;438;20;47
"0840 M�rbyl�nga";544;926;2045;2234;1985;1401;22;51
"0860 Hultsfred";821;1331;2051;2288;1116;753;92;110
"0861 M�nster�s";667;996;2052;2270;1183;872;38;48
"0862 Emmaboda";508;736;1351;1530;793;622;35;57
"0880 Kalmar";2330;3240;8110;9179;9192;7414;184;283
"0881 Nybro";1161;1622;2867;3227;1783;1289;64;93
"0882 Oskarshamn";1344;1686;3920;4571;2655;2066;61;96
"0883 V�stervik";1647;2314;5493;6252;3904;2732;66;83
"0884 Vimmerby";702;1279;2476;2685;1353;868;45;50
"0885 Borgholm";477;874;1699;1759;1178;787;31;39
"0980 Gotland";2548;3588;8689;9441;6770;4866;120;147
"1060 Olofstr�m";716;951;2020;2361;1105;804;58;56
"1080 Karlskrona";2601;2872;7890;9337;8532;7955;194;254
"1081 Ronneby";1450;1824;4031;4663;2925;2483;72;123
"1082 Karlshamn";1607;1964;4360;5072;3632;2707;93;127
"1083 S�lvesborg";852;1331;2561;2780;1822;1161;43;114
"1214 Sval�v";584;950;1958;2291;1426;1048;64;143
"1230 Staffanstorp";718;912;2725;3087;3399;2694;76;87
"1231 Burl�v";963;1085;2316;2578;1891;1598;121;155
"1233 Vellinge";866;1134;4300;4442;5573;4580;98;169
"1256 �stra G�inge";862;1202;2045;2341;1170;816;64;83
"1257 �rkelljunga";531;875;1508;1619;831;544;75;110
"1260 Bjuv";1037;1296;2325;2588;1038;714;79;150
"1261 K�vlinge";1071;1372;3896;4384;4169;3341;74;99
"1262 Lomma";482;521;2031;2246;4415;3799;44;64
"1263 Svedala";718;1120;2968;3207;2525;1791;40;97
"1264 Skurup";712;1051;2310;2484;1581;1102;58;105
"1265 Sj�bo";888;1486;2925;3274;1823;1235;69;128
"1266 H�rby";732;1126;2227;2579;1575;981;56;109
"1267 H��r";635;944;2135;2370;2128;1581;41;81
"1270 Tomelilla";684;1089;2004;2195;1251;726;49;63
"1272 Brom�lla";715;1022;1961;2159;1087;709;25;38
"1273 Osby";681;1033;1958;2116;1096;784;62;66
"1275 Perstorp";471;661;1049;1167;538;402;30;66
"1276 Klippan";911;1258;2674;3018;1410;969;82;163
"1277 �storp";934;1102;2355;2600;1158;864;70;121
"1278 B�stad";573;890;2020;2055;1900;1413;51;96
"1280 Malm�";14326;14994;34488;39340;50337;44119;2892;3895
"1281 Lund";2229;2776;8178;8922;23877;22345;629;889
"1282 Landskrona";2455;2694;6072;7029;4573;3585;299;376
"1283 Helsingborg";6388;7376;17924;19421;17821;14783;701;958
"1284 H�gan�s";796;1134;3435;3564;3748;2902;92;163
"1285 Esl�v";1466;2093;4384;4996;3747;2730;117;165
"1286 Ystad";1150;1631;4308;4483;3787;2683;69;91
"1287 Trelleborg";2068;2767;6537;7252;4557;3240;170;283
"1290 Kristianstad";3525;4787;10947;12058;10277;7929;282;383
"1291 Simrishamn";927;1386;2645;2780;2359;1684;72;98
"1292 �ngelholm";1574;2150;5795;6339;5186;3765;109;191
"1293 H�ssleholm";2598;3687;7189;7724;5334;4183;195;302
"1315 Hylte";612;1001;1493;1666;804;568;60;99
"1380 Halmstad";3994;4743;12535;14112;12766;10380;271;413
"1381 Laholm";1156;1968;3715;3979;2435;1679;82;104
"1382 Falkenberg";2025;3069;6449;6958;4276;3062;130;212
"1383 Varberg";2449;3877;8486;9478;7832;5380;149;203
"1384 Kungsbacka";2272;2994;10031;10699;11570;9364;140;265
"1401 H�rryda";1091;1526;4192;4843;5545;4521;62;105
"1402 Partille";1179;1356;4285;4843;5578;4653;95;141
"1407 �cker�";491;801;1755;1821;1619;1224;15;34
"1415 Stenungsund";884;1223;3549;3986;3275;2417;49;98
"1419 Tj�rn";589;919;2176;2498;1950;1492;30;71
"1421 Orust";646;1139;2334;2627;1716;1120;37;43
"1427 Soten�s";444;639;1411;1597;950;739;20;35
"1430 Munkedal";488;741;1567;1957;885;533;25;54
"1435 Tanum";601;1002;1865;2082;1361;868;64;97
"1438 Dals-Ed";298;445;669;809;402;216;45;81
"1439 F�rgelanda";365;594;988;1138;535;297;19;23
"1440 Ale";1271;1761;4192;4856;3173;2282;61;80
"1441 Lerum";1122;1555;4968;5618;5873;4513;66;82
"1442 V�rg�rda";553;890;1659;1912;1150;662;21;23
"1443 Bollebygd";400;629;1284;1370;1023;705;19;37
"1444 Gr�storp";265;426;872;1043;547;329;11;20
"1445 Essunga";281;473;885;1051;496;234;11;12
"1446 Karlsborg";320;410;1065;1184;701;614;15;22
"1447 Gullsp�ng";309;545;844;910;406;248;39;32
"1452 Tranemo";699;1236;1694;1810;980;593;24;49
"1460 Bengtsfors";601;823;1417;1723;775;509;50;85
"1461 Mellerud";536;830;1308;1510;778;491;57;98
"1462 Lilla Edet";726;1032;2036;2536;1195;736;25;81
"1463 Mark";1815;2807;4845;5318;3391;2170;89;115
"1465 Svenljunga";700;1188;1655;1664;777;485;36;53
"1466 Herrljunga";553;820;1355;1566;861;532;26;28
"1470 Vara";804;1350;2437;2842;1333;779;52;64
"1471 G�tene";630;1042;2008;2271;1333;825;29;57
"1472 Tibro";615;837;1634;1925;950;606;37;62
"1473 T�reboda";497;787;1479;1642;811;526;32;48
"1480 G�teborg";21320;23955;58157;66611;91598;82482;3040;3685
"1481 M�lndal";1995;2514;7158;7830;10074;8897;180;285
"1482 Kung�lv";1476;2207;5923;6474;5527;4218;75;115
"1484 Lysekil";716;984;2123;2439;1580;1108;78;74
"1485 Uddevalla";2114;2813;7242;8547;6698;4761;159;212
"1486 Str�mstad";711;892;1804;2005;1255;971;155;268
"1487 V�nersborg";1602;2096;5189;6170;4653;3256;131;175
"1488 Trollh�ttan";2753;2821;7344;8944;6585;5457;210;192
"1489 Alings�s";1531;2055;5285;5943;5226;3890;78;104
"1490 Bor�s";5596;6776;14186;15698;12495;10033;385;499
"1491 Ulricehamn";1182;1970;3370;3716;2386;1592;61;86
"1492 �m�l";596;829;1917;2143;1178;832;52;64
"1493 Mariestad";1061;1443;3591;4198;2553;1728;86;113
"1494 Lidk�ping";1561;2146;5696;6419;4668;3397;73;93
"1495 Skara";882;1286;2749;2988;1986;1386;45;73
"1496 Sk�vde";2107;2780;7117;8062;6669;5573;151;210
"1497 Hjo";386;557;1356;1534;985;668;24;44
"1498 Tidaholm";701;1029;1993;2188;1060;669;26;50
"1499 Falk�ping";1485;2336;4630;5264;3236;2160;96;101
"1715 Kil";457;655;1770;2118;1334;844;30;38
"1730 Eda";531;715;1274;1489;590;407;130;193
"1737 Torsby";502;776;1949;2399;1057;631;61;100
"1760 Storfors";234;316;666;820;310;227;14;21
"1761 Hammar�";401;514;1844;2308;2448;1879;20;35
"1762 Munkfors";183;236;604;730;256;150;16;25
"1763 Forshaga";455;567;1809;2082;1182;811;22;55
"1764 Grums";490;714;1513;1724;688;417;39;56
"1765 �rj�ng";541;701;1567;1856;728;432;122;214
"1766 Sunne";499;796;2005;2563;1398;807;35;74
"1780 Karlstad";2648;3459;10770;12763;13667;10867;246;292
"1781 Kristinehamn";1155;1527;3635;4284;2585;1769;79;94
"1782 Filipstad";747;896;1568;1899;714;463;56;69
"1783 Hagfors";550;746;2011;2486;923;602;53;109
"1784 Arvika";1182;1406;3902;4640;2722;1852;107;144
"1785 S�ffle";653;973;2481;2762;1337;953;91;99
"1814 Lekeberg";309;524;1108;1325;810;511;12;24
"1860 Lax�";367;441;877;1076;423;306;17;26
"1861 Hallsberg";814;1169;2495;2880;1316;935;39;53
"1862 Degerfors";545;746;1605;1857;736;491;19;23
"1863 H�llefors";395;508;1091;1293;477;369;39;35
"1864 Ljusnarsberg";309;428;812;944;354;269;27;40
"1880 �rebro";5524;6726;17077;20218;20772;16017;508;497
"1881 Kumla";1039;1250;3186;3675;2106;1433;35;61
"1882 Askersund";570;841;1894;2104;978;664;23;29
"1883 Karlskoga";1616;1695;4628;5322;2789;2257;97;88
"1884 Nora";449;656;1576;1806;1199;802;26;29
"1885 Lindesberg";1208;1673;3464;4265;2261;1467;79;95
"1904 Skinnskatteberg";304;386;681;818;374;257;12;15
"1907 Surahammar";606;695;1648;1958;736;539;28;30
"1960 Kungs�r";455;607;1283;1488;781;534;28;38
"1961 Hallstahammar";834;949;2425;2821;1351;935;54;93
"1962 Norberg";359;460;903;1107;465;296;16;21
"1980 V�ster�s";5953;6762;18141;20755;19825;16830;477;507
"1981 Sala";903;1380;3573;3988;2279;1438;52;62
"1982 Fagersta";769;869;1933;2443;1069;782;56;58
"1983 K�ping";1317;1688;3984;4609;2278;1630;105;104
"1984 Arboga";726;776;2046;2438;1377;1049;27;36
"2021 Vansbro";386;545;1046;1292;538;268;13;21
"2023 Malung-S�len";472;841;1665;1907;856;537;33;39
"2026 Gagnef";364;607;1630;1793;1038;735;15;23
"2029 Leksand";487;833;2336;2649;1893;1320;27;43
